name,image,weight,purity,category,badge
"Gents Ring","/images/gold-ring.png","3g","18K Gold","gold","Men's"
"Heavy Rope Chain","/images/gold-chain.png","10g","18K Gold","gold",""
"Jhumka Earrings with Pearls","/images/gold-earrings.png","14g","18K Gold","gold","Bridal"
"Radha Krishna Locket","/images/radha-krishna.png","4g","18K Gold","gold",""
"Elegant Gold Bracelet Design 1","/images/gold-bracelet/suman4.jpeg","7g","18K Gold","gold",""
"Elegant Gold Bracelet Design 2","/images/gold-bracelet/suman5.jpeg","10g","18K Gold","gold",""
"Elegant Gold Bracelet Design 3","/images/gold-bracelet/suman6.jpeg","8g","18K Gold","gold",""
"Elegant Gold Bracelet Design 4","/images/gold-bracelet/suman14.jpeg","11g","18K Gold","gold",""
"Elegant Gold Bracelet Design 5","/images/gold-bracelet/suman15.jpeg","6g","18K Gold","gold",""
"Delicate Heart Pendant Chain Set","/images/gold-necklaces/suman7.jpeg","11.359g","18K Gold","gold",""
"Antique Gold Choker Set","/images/gold-necklaces/suman8.jpeg","45.00g","18K Gold","gold",""
"Floral Pendant Chain Set","/images/gold-necklaces/suman10.jpeg","14.552g","18K Gold","gold",""
"Classic Gold Necklace Design 5","/images/gold-necklaces/suman11.jpeg","8g","18K Gold","gold",""
"Silver Necklace Set","/images/silver-necklace-1.jpeg","","925 Sterling","silver","New"
"Elegant Silver Necklace","/images/silver-necklace-2.jpeg","","925 Sterling","silver","New"
